vehicle_make,violation_count
TOYOT,112
HONDA,106
FORD,104
CHEVR,76
NISSA,70
DODGE,45
FRUEH,44
ME/BE,38
GMC,35
HYUND,35
BMW,34
LEXUS,26
INTER,25
JEEP,22
NS/OT,18
SUBAR,18
INFIN,13
LINCO,12
CHRYS,12
ACURA,12
AUDI,12
VOLVO,12
MITSU,11
ISUZU,10
CADIL,9
KIA,8
VOLKS,8
HIN,6
KENWO,5
UNKNOWN,5
ROVER,5
BUICK,5
MAZDA,5
MERCU,4
JAGUA,3
SMART,3
PORSC,3
WORKH,2
SATUR,2
SCION,2
SAAB,2
HINO,2
FIR,1
OLDSM,1
PETER,1
CITRO,1
GEO,1
YAMAH,1
BSA,1
MINI,1
PONTI,1
SPRI,1
PLYMO,1
UPS,1
FIAT,1
UD,1
UTILI,1
GMCQ,1
STAR,1
AM/T,1
MI/F,1
