car_make,car_model,model_year,vin,color
Ford,Mustang,1967,1FATP8UH0H5100001,Red
Mercedes-Benz,S-Class,2012,WDDUG8FB0CA100002,Black
Toyota,RAV4,2008,JTMBFREV0D0100003,Green
Tesla,Roadster,2012,5YJRE1A10A1100004,Blue
BMW,M3,2004,WBSBL93454P100005,Silver
Ford,F150,1999,1FTRX17L1XK100006,Blue
Audi,A8,2011,WAUZZZ4H1BN100007,Green
Honda,Civic,1988,JHMED635XJS100008,Red
Mercedes-Benz,SLK,2008,WDBWK56F18F100009,Blue
Chevrolet,Corvette,1962,20867S10000100010,Teal
Toyota,Camry,2010,4T1BF3EK7AU100011,Green
Porsche,911,2001,WP0AA29911S100012,Black
Ford,Explorer,2005,1FMEU73E75U100013,Blue
Nissan,Murano,2012,JN8AZ1MW4CW100014,Pink
BMW,X5,2009,5UXFE435X9L100015,Green
Volkswagen,Golf,1986,WVWZZZ19ZGW100016,Blue
Lexus,RX,2008,2T2HK31U08C100017,Green
Ferrari,F430,2008,ZFFEW58A780100018,Red
Ford,Thunderbird,1965,5Y83Z100000100019,Blue
Honda,Fit,2011,JHMGE8H55BC100020,Green
Audi,A4,2000,WAUZZZ8D1YA100021,Silver
Toyota,Corolla,1995,1NXAE09B4SZ100022,White
Mercedes-Benz,C-Class,2008,WDDGF54X08F100023,Green
Subaru,Legacy,2011,4S3BMBC65B3100024,Blue
,Unknown,2001,1BADMAKE000100025,Red
Ford,Focus,twenty-ten,1FAHP3FN0AW100026,Blue
Toyota,Prius,2010,,Green
Honda,Accord,1890,1HGCP2F30AA100028,Silver
Audi,Q5,2027,WA1LFAFP7BA100029,Black
BMW,Z4,2009,NOT-A-VALID-VIN!!,
Audi,A8,2011,WAUZZZ4H1BN100007,Green
