make,model,year,vin,color
Mazda,Mazda3,2008,VIN00000000000000,White
Tesla,Model S,1995,VIN00000000000001,Silver
Volvo,S60,1986,VIN00000000000002,Silver
Volvo,XC90,1976,VIN00000000000003,White
Mercedes-Benz,C-Class,2009,VIN00000000000004,Black
Toyota,Corolla,2007,VIN00000000000005,Blue
Volvo,S60,1982,VIN00000000000006,Black
Honda,Civic,1970,VIN00000000000007,Green
Tesla,Model S,1961,VIN00000000000008,Black
BMW,Z4,2002,VIN00000000000009,Black
Ford,Mustang,2024,VIN00000000000010,Pink
Subaru,Forester,2005,VIN00000000000011,White
