car_make,car_model,model_year,vin,color
Mazda,Mazda3,2008,VIN00000000000000,White
Tesla,Model S,1995,VIN00000000000001,Silver
Volvo,S60,1986,VIN00000000000002,Silver
Volvo,XC90,1976,VIN00000000000003,White
Mercedes-Benz,C-Class,2009,VIN00000000000004,Black
Toyota,Corolla,2007,VIN00000000000005,Blue
Volvo,S60,1982,VIN00000000000006,Black
Honda,Civic,1970,VIN00000000000007,Green
Tesla,Model S,1961,VIN00000000000008,Black
BMW,Z4,2002,VIN00000000000009,Black
Ford,Mustang,2024,VIN00000000000010,Pink
Subaru,Forester,2005,VIN00000000000011,White
Chevrolet,Tahoe,2020,VIN00000000000012,Pink
Mercedes-Benz,GLC,1984,VIN00000000000013,Pink
Mazda,Mazda3,2005,VIN00000000000014,Silver
Volvo,XC90,1965,VIN00000000000015,White
Mazda,Mazda3,1979,VIN00000000000016,Blue
Ford,F-150,1961,VIN00000000000017,Green
Tesla,Model Y,1962,VIN00000000000018,Silver
Toyota,RAV4,2000,VIN00000000000019,Green
Ford,F-150,2013,VIN00000000000020,Black
Mazda,CX-5,1982,VIN00000000000021,Pink
Honda,CR-V,1964,VIN00000000000022,Red
Subaru,Forester,2015,VIN00000000000023,White
Subaru,Outback,1967,VIN00000000000024,Silver
Volvo,S60,1993,VIN00000000000025,White
BMW,X5,2006,VIN00000000000026,Red
Ford,Focus,2024,VIN00000000000027,Pink
Mercedes-Benz,C-Class,2013,VIN00000000000028,Red
Mercedes-Benz,GLC,1996,VIN00000000000029,Black
Volvo,XC60,2015,VIN00000000000030,Green
Toyota,Camry,1990,VIN00000000000031,Black
Volvo,S60,1976,VIN00000000000032,Blue
Volvo,XC60,2012,VIN00000000000033,Green
Honda,Civic,1986,VIN00000000000034,Green
Tesla,Model 3,2002,VIN00000000000035,Green
Ford,Mustang,2009,VIN00000000000036,Black
Ford,Mustang,2020,VIN00000000000037,Blue
Mazda,MX-5,2023,VIN00000000000038,Black
Subaru,Outback,1987,VIN00000000000039,Silver
Ford,Mustang,1991,VIN00000000000040,Blue
Honda,CR-V,2003,VIN00000000000041,White
Toyota,Corolla,1980,VIN00000000000042,Red
Volvo,XC90,1983,VIN00000000000043,Red
Tesla,Model 3,1996,VIN00000000000044,Pink
Tesla,Model Y,2020,VIN00000000000038,Red
Mercedes-Benz,GLC,2023,VIN00000000000046,Blue
BMW,X5,2024,VIN00000000000047,Green
Subaru,Impreza,1986,VIN00000000000048,Silver
BMW,X5,1988,VIN00000000000049,Pink
Toyota,Corolla,2020,VIN00000000000050,Silver
BMW,X5,1991,VIN00000000000051,Red
Toyota,Corolla,1960,VIN00000000000052,Black
Mercedes-Benz,S-Class,2003,VIN00000000000053,Silver
Chevrolet,Malibu,1969,VIN00000000000054,Red
BMW,X5,1991,VIN00000000000055,White
Honda,Civic,1995,VIN00000000000056,Red
Volvo,XC60,2008,VIN00000000000057,Black
Mazda,CX-5,2023,VIN00000000000058,Blue
Honda,Civic,2003,VIN00000000000059,Pink
Honda,CR-V,1989,VIN00000000000060,Pink
Mercedes-Benz,C-Class,2007,VIN00000000000061,White
Mercedes-Benz,GLC,1960,VIN00000000000062,Red
Subaru,Forester,1983,VIN00000000000063,Silver
Toyota,RAV4,2012,VIN00000000000064,Blue
Mazda,CX-5,2024,VIN00000000000065,Black
Mazda,CX-5,2016,VIN00000000000066,Red
BMW,Z4,2018,VIN00000000000067,Black
Volvo,XC60,1975,VIN00000000000068,White
Chevrolet,Malibu,2020,VIN00000000000069,Blue
Subaru,Forester,1976,VIN00000000000070,Green
Subaru,Outback,1981,VIN00000000000071,White
Mercedes-Benz,S-Class,1983,VIN00000000000072,Black
Chevrolet,Malibu,2012,VIN00000000000073,Silver
Volvo,XC90,1969,VIN00000000000074,Silver
Mercedes-Benz,S-Class,2021,VIN00000000000075,White
Mercedes-Benz,C-Class,1984,VIN00000000000076,Blue
Toyota,Camry,2013,VIN00000000000077,Blue
Mazda,CX-5,2013,VIN00000000000078,Pink
BMW,X5,2012,VIN00000000000079,Blue
Mercedes-Benz,C-Class,2012,VIN00000000000080,Blue
Toyota,RAV4,2004,VIN00000000000081,Red
Volvo,XC60,1963,VIN00000000000082,White
Mazda,Mazda3,1994,VIN00000000000083,Green
Mercedes-Benz,C-Class,2017,VIN00000000000084,Black
Mazda,MX-5,1990,VIN00000000000085,Pink
Volvo,XC60,2000,VIN00000000000086,Green
Tesla,Model S,2006,VIN00000000000087,Red
Subaru,Impreza,1979,VIN00000000000088,Pink
BMW,Z4,1992,VIN00000000000089,Green
Mercedes-Benz,GLC,1978,VIN00000000000083,Silver
Volvo,S60,1986,VIN00000000000091,Green
Chevrolet,Corvette,2021,VIN00000000000092,Black
Chevrolet,Tahoe,2019,VIN00000000000093,White
Tesla,Model S,1964,VIN00000000000094,Green
Volvo,XC60,2013,VIN00000000000095,Pink
Toyota,Camry,2021,VIN00000000000096,Silver
BMW,Z4,1963,VIN00000000000097,Pink
Mazda,MX-5,1989,VIN00000000000098,Green
Chevrolet,Malibu,1985,VIN00000000000099,Pink
Tesla,Model S,2018,VIN00000000000100,Pink
Ford,Focus,2017,VIN00000000000101,Pink
BMW,3 Series,2008,VIN00000000000102,Black
Mercedes-Benz,C-Class,1966,VIN00000000000103,Blue
Tesla,Model Y,1992,VIN00000000000104,Blue
Mazda,MX-5,1992,VIN00000000000105,Green
Mazda,MX-5,2010,VIN00000000000106,Pink
BMW,3 Series,1963,VIN00000000000107,Green
Honda,CR-V,2017,VIN00000000000108,Red
Chevrolet,Tahoe,1994,VIN00000000000109,Pink
Chevrolet,Tahoe,1981,VIN00000000000110,Green
Tesla,Model 3,2000,VIN00000000000111,Red
Volvo,XC60,2009,VIN00000000000112,Red
Tesla,Model S,1971,VIN00000000000113,Blue
Honda,Accord,1996,VIN00000000000114,Pink
Honda,Civic,2002,VIN00000000000115,Green
Tesla,Model S,1961,VIN00000000000116,White
Mercedes-Benz,S-Class,1967,VIN00000000000117,White
Tesla,Model 3,1991,VIN00000000000118,Black
Volvo,S60,1978,VIN00000000000119,White
Mercedes-Benz,GLC,1963,VIN00000000000120,Green
Volvo,XC90,1995,VIN00000000000121,Green
Mercedes-Benz,S-Class,1994,VIN00000000000122,Blue
Volvo,S60,1970,VIN00000000000123,Pink
Toyota,Corolla,1965,VIN00000000000124,Pink
Volvo,S60,2009,VIN00000000000125,Green
Mercedes-Benz,S-Class,1980,VIN00000000000126,Blue
Chevrolet,Tahoe,2005,VIN00000000000127,Black
Honda,CR-V,1991,VIN00000000000128,Green
Mazda,MX-5,2002,VIN00000000000129,White
Tesla,Model 3,2001,VIN00000000000130,Black
Mercedes-Benz,GLC,2017,VIN00000000000131,White
Volvo,XC90,1960,VIN00000000000132,Green
Subaru,Impreza,1982,VIN00000000000133,Green
Mazda,Mazda3,1978,VIN00000000000134,Red
Tesla,Model S,2020,VIN00000000000128,Green
BMW,Z4,2000,VIN00000000000136,Silver
Subaru,Forester,1996,VIN00000000000137,Green
Volvo,S60,1966,VIN00000000000138,Silver
Volvo,S60,2019,VIN00000000000139,Green
Toyota,Corolla,1966,VIN00000000000140,Blue
