make,model,year,vin,color
Volvo,S60,1986,VIN00000000000002,Silver
Volvo,XC90,1976,VIN00000000000003,White
Volvo,S60,1982,VIN00000000000006,Black
Honda,Civic,1970,VIN00000000000007,Green
Tesla,Model S,1961,VIN00000000000008,Black
Mercedes-Benz,GLC,1984,VIN00000000000013,Pink
Volvo,XC90,1965,VIN00000000000015,White
Mazda,Mazda3,1979,VIN00000000000016,Blue
Ford,F-150,1961,VIN00000000000017,Green
Tesla,Model Y,1962,VIN00000000000018,Silver
Mazda,CX-5,1982,VIN00000000000021,Pink
Honda,CR-V,1964,VIN00000000000022,Red
Subaru,Outback,1967,VIN00000000000024,Silver
Volvo,S60,1976,VIN00000000000032,Blue
Honda,Civic,1986,VIN00000000000034,Green
Subaru,Outback,1987,VIN00000000000039,Silver
Toyota,Corolla,1980,VIN00000000000042,Red
Volvo,XC90,1983,VIN00000000000043,Red
Subaru,Impreza,1986,VIN00000000000048,Silver
BMW,X5,1988,VIN00000000000049,Pink
Toyota,Corolla,1960,VIN00000000000052,Black
Chevrolet,Malibu,1969,VIN00000000000054,Red
Honda,CR-V,1989,VIN00000000000060,Pink
Mercedes-Benz,GLC,1960,VIN00000000000062,Red
Subaru,Forester,1983,VIN00000000000063,Silver
Volvo,XC60,1975,VIN00000000000068,White
Subaru,Forester,1976,VIN00000000000070,Green
Subaru,Outback,1981,VIN00000000000071,White
Mercedes-Benz,S-Class,1983,VIN00000000000072,Black
Volvo,XC90,1969,VIN00000000000074,Silver
Mercedes-Benz,C-Class,1984,VIN00000000000076,Blue
Volvo,XC60,1963,VIN00000000000082,White
Subaru,Impreza,1979,VIN00000000000088,Pink
Mercedes-Benz,GLC,1978,VIN00000000000083,Silver
Volvo,S60,1986,VIN00000000000091,Green
Tesla,Model S,1964,VIN00000000000094,Green
BMW,Z4,1963,VIN00000000000097,Pink
Mazda,MX-5,1989,VIN00000000000098,Green
Chevrolet,Malibu,1985,VIN00000000000099,Pink
Mercedes-Benz,C-Class,1966,VIN00000000000103,Blue
BMW,3 Series,1963,VIN00000000000107,Green
Chevrolet,Tahoe,1981,VIN00000000000110,Green
Tesla,Model S,1971,VIN00000000000113,Blue
Tesla,Model S,1961,VIN00000000000116,White
Mercedes-Benz,S-Class,1967,VIN00000000000117,White
Volvo,S60,1978,VIN00000000000119,White
Mercedes-Benz,GLC,1963,VIN00000000000120,Green
Volvo,S60,1970,VIN00000000000123,Pink
Toyota,Corolla,1965,VIN00000000000124,Pink
Mercedes-Benz,S-Class,1980,VIN00000000000126,Blue
Volvo,XC90,1960,VIN00000000000132,Green
Subaru,Impreza,1982,VIN00000000000133,Green
Mazda,Mazda3,1978,VIN00000000000134,Red
Volvo,S60,1966,VIN00000000000138,Silver
Toyota,Corolla,1966,VIN00000000000140,Blue
Toyota,Corolla,1985,VIN00000000000141,Black
Tesla,Model Y,1984,VIN00000000000144,White
Subaru,Forester,1969,VIN00000000000150,Green
Ford,F-150,1968,VIN00000000000153,White
Chevrolet,Malibu,1984,VIN00000000000154,White
Ford,Focus,1979,VIN00000000000156,Green
BMW,X5,1961,VIN00000000000158,Red
BMW,X5,1975,VIN00000000000160,Blue
Ford,Mustang,1983,VIN00000000000162,Black
Mercedes-Benz,GLC,1962,VIN00000000000167,Pink
Mercedes-Benz,S-Class,1973,VIN00000000000168,White
Mercedes-Benz,GLC,1971,VIN00000000000169,Red
Tesla,Model Y,1968,VIN00000000000170,Green
Subaru,Forester,1983,VIN00000000000174,Blue
Mercedes-Benz,GLC,1976,VIN00000000000175,Green
BMW,Z4,1966,VIN00000000000177,Pink
Toyota,RAV4,1986,VIN00000000000178,Red
Subaru,Outback,1963,VIN00000000000179,Red
Mercedes-Benz,GLC,1976,VIN00000000000183,Silver
Tesla,Model Y,1987,VIN00000000000185,White
Volvo,XC90,1976,VIN00000000000189,White
Ford,F-150,1969,VIN00000000000194,White
Mazda,MX-5,1964,VIN00000000000197,Black
Honda,Accord,1968,VIN00000000000198,Black
Mercedes-Benz,C-Class,1985,VIN00000000000202,Red
Ford,Mustang,1965,VIN00000000000203,White
Tesla,Model Y,1972,VIN00000000000207,Blue
Volvo,XC90,1970,VIN00000000000208,Red
Mercedes-Benz,GLC,1977,VIN00000000000209,Blue
Mercedes-Benz,C-Class,1963,VIN00000000000211,Silver
Subaru,Impreza,1963,VIN00000000000215,Green
Volvo,S60,1967,VIN00000000000216,Green
Toyota,RAV4,1988,VIN00000000000217,Silver
Tesla,Model Y,1966,VIN00000000000220,Blue
Tesla,Model 3,1965,VIN00000000000221,Silver
Toyota,Corolla,1984,VIN00000000000223,Red
Ford,Mustang,1984,VIN00000000000224,Silver
Volvo,XC90,1972,VIN00000000000218,Pink
BMW,X5,1964,VIN00000000000226,Pink
Subaru,Impreza,1982,VIN00000000000227,Red
Toyota,Camry,1987,VIN00000000000228,Red
Toyota,RAV4,1982,VIN00000000000229,Black
Mazda,MX-5,1986,VIN00000000000233,Pink
Ford,F-150,1962,VIN00000000000235,Red
Volvo,XC90,1965,VIN00000000000236,Blue
Honda,Accord,1989,VIN00000000000237,Blue
Toyota,Camry,1988,VIN00000000000239,Red
