make,model,year,vin,color
Ford,Mustang,2024,VIN00000000000010,Pink
Chevrolet,Tahoe,2020,VIN00000000000012,Pink
Mercedes-Benz,GLC,1984,VIN00000000000013,Pink
Mazda,CX-5,1982,VIN00000000000021,Pink
Ford,Focus,2024,VIN00000000000027,Pink
Tesla,Model 3,1996,VIN00000000000044,Pink
BMW,X5,1988,VIN00000000000049,Pink
Honda,Civic,2003,VIN00000000000059,Pink
Honda,CR-V,1989,VIN00000000000060,Pink
Mazda,CX-5,2013,VIN00000000000078,Pink
Mazda,MX-5,1990,VIN00000000000085,Pink
Subaru,Impreza,1979,VIN00000000000088,Pink
Volvo,XC60,2013,VIN00000000000095,Pink
BMW,Z4,1963,VIN00000000000097,Pink
Chevrolet,Malibu,1985,VIN00000000000099,Pink
Tesla,Model S,2018,VIN00000000000100,Pink
Ford,Focus,2017,VIN00000000000101,Pink
Mazda,MX-5,2010,VIN00000000000106,Pink
Chevrolet,Tahoe,1994,VIN00000000000109,Pink
Honda,Accord,1996,VIN00000000000114,Pink
Volvo,S60,1970,VIN00000000000123,Pink
Toyota,Corolla,1965,VIN00000000000124,Pink
Toyota,Corolla,2017,VIN00000000000147,Pink
Honda,Civic,2013,VIN00000000000148,Pink
Tesla,Model Y,2019,VIN00000000000161,Pink
Mercedes-Benz,GLC,2000,VIN00000000000166,Pink
Mercedes-Benz,GLC,1962,VIN00000000000167,Pink
BMW,Z4,1966,VIN00000000000177,Pink
Chevrolet,Corvette,2013,VIN00000000000206,Pink
Honda,CR-V,2016,VIN00000000000213,Pink
Subaru,Impreza,2024,VIN00000000000219,Pink
Volvo,XC90,1972,VIN00000000000218,Pink
BMW,X5,1964,VIN00000000000226,Pink
Mazda,MX-5,1986,VIN00000000000233,Pink
